Ville,Latitude,Longitude
Paris,48.8534951,2.3483915
Londres,51.5074456,-0.1277653
Dublin,53.3493795,-6.2605593
Bruxelles,50.8465573,4.351697
Luxembourg,49.8158683,6.1296751
Amsterdam,52.3730796,4.8924534
Berlin,52.5170365,13.3888599
Vienne,48.2083537,16.3725042
Budapest,47.4978789,19.0402383
Rome,41.8933203,12.4829321
Berne,46.9484742,7.4521749
Madrid,40.4167047,-3.7035825
Lisbonne,38.7077507,-9.1365919
Le Caire,30.0443879,31.2357257
Beijing,40.190632,116.412144
Lima,-12.0621065,-77.0365256
La Paz,-16.4955455,-68.1336229
Rio de Janeiro,-22.9110137,-43.2093727
Washington,38.8950368,-77.0365427
